calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
118068,24263418,2022-03-04 00:00:00.000000,1,100,100,20,50
118069,1172376,2022-03-20 00:00:00.000000,0,80,80,2,1125
118070,53030480,2022-06-29 00:00:00.000000,1,55,55,1,1125
118071,43584824,2022-04-01 00:00:00.000000,0,220,220,3,1125
118072,27479453,2022-01-01 00:00:00.000000,0,250,250,2,1125
118073,47723866,2022-05-16 00:00:00.000000,1,120,120,1,1125
118074,46936976,2022-01-19 00:00:00.000000,0,80,80,7,365
118075,52358678,2022-05-30 00:00:00.000000,1,100,100,7,365
118076,53825194,2022-08-01 00:00:00.000000,0,33,33,1,14
118077,50223040,2022-12-14 00:00:00.000000,0,100,100,1,1125
118078,30688137,2022-08-05 00:00:00.000000,0,130,130,2,60
118079,26991935,2022-07-03 00:00:00.000000,0,22,22,1,1125
118080,25148862,2022-04-07 00:00:00.000000,1,145,145,1,4
118081,42788327,2022-09-02 00:00:00.000000,0,65,65,1,1125
118082,39905365,2022-08-27 00:00:00.000000,1,40,40,13,1125
